alekse ŽujoviĆa,,sopot,sopot,sopot,
alekseja brkiĆa,,obrenovac,bariČ,bariČ,2019/064
alekseja brkiĆa,,voŽdovac,beli potok,beli potok,2018/119
alekseja gansena,,Čukarica,umka,umka,
aleksija milosavljeviĆa,,sopot,rogaČa,rogaČa,
aleksinaČka ulica,,barajevo,vraniĆ,vraniĆ,2019/067
aleksinaČka,,lazarevac,kruŠevica,kruŠevica,
aleksinaČka,,voŽdovac,beograd,beograd,
aleksinaČkih rudara,,grocka,kaluĐerica,kaludjerica,
aleksinaČkih rudara,,novi beograd,beograd,beograd,
aleksinaČkih rudara,,zemun,beograd,beograd,
alfreda nobela,nova 32,zemun,beograd,bg-zemun,2004/005
alibunarska,,palilula,beograd,bg-krnjaČa,
alimpija vasiljeviĆa,plavi horizont nova  6,zemun,beograd,bg-zemun,2005/008
alinac,,mladenovac,koraĆica,koraĆica,
aljehinova,,Čukarica,beograd,bg-Žarkovo,
alojza Šmausa,,rakovica,beograd,beograd,
alpskih ruŽa,,palilula,beograd,bg-krnjaČa,2019/013
aluge,,obrenovac,konatice,konatice,
aluŠka ulica,,barajevo,guncati,guncati,2019/067
aluŽanska,,lazarevac,bistrica,bistrica,
amadova,altina nova 32,zemun,beograd,bg-zemun,2004/005
amelije erhart,,palilula,beograd,bg-krnjaČa,2019/013
aminaČka,,sopot,sopot,sopot,
anastasa jovanoviĆa,,sopot,stojnik,stojnik,
anastasa jovanoviĆa,,vraČar,beograd,beograd,
anastasije nake spasiĆ,,voŽdovac,ripanj,ripanj,2018/119
anastasije spasiĆ,,Čukarica,beograd,bg-Železnik,2019/013
anĐelije miliĆ,,Čukarica,velika moŠtanica,velika moŠtanica,
anĐelije miliĆ,nova  1,barajevo,Šiljakovac,Šiljakovac,2019/067
anĐelije stanČiĆ,,Čukarica,beograd,bg-Železnik,2019/013
anÐelka ČobanoviĆa,,surČin,dobanovci,dobanovci,
anÐelka krstiĆa,nova  2,palilula,padinska skela,padinska skela,2007/019
andersenova,mali zbeg nova 211,palilula,borČa,borČa,2000/003
andre ĐorĐeviĆa,,palilula,beograd,bg-viŠnjica,2019/013
andre joviĆa,,obrenovac,misloĐin,misloĐin,
andre joviĆa,,rakovica,beograd,beograd,
andre nikoliĆa,,savski venac,beograd,beograd,
andre stevanoviĆa,duŠana srezojeviĆa 1 ula,zvezdara,beograd,bg-v m lug,2005/008
andreja andrejeviĆa,,zvezdara,beograd,bg-v m lug,2018/119
andreja mitroviĆa,,palilula,beograd,bg-krnjaČa,2019/013
andreja saharova,mali zbeg nova 103,palilula,borČa,borČa,2000/003
andreja tarkovskog,,novi beograd,beograd,bg-n beograd,
andreja vitruka,,palilula,beograd,bg-krnjaČa,2019/013
andreje damjanoviĆa,,novi beograd,beograd,beograd,2019/066
andreje milenkoviĆa,,Čukarica,ostruŽnica,ostruŽnica,
andreje mitroviĆa,,sopot,ralja,ralja,
andreje pregera,,palilula,beograd,bg-krnjaČa,2019/013
andrejin put,,lazarevac,petka,petka,
andriĆev venac,,stari grad,beograd,beograd,
andriĆeva,,grocka,brestovik,brestovik,2018/119
andriĆeva,,lazarevac,veliki crljeni,veliki crljeni,
andriĆeva,,lazarevac,vreoci,vreoci,
andriĆeva,,obrenovac,misloĐin,mislodjin,
andrijane tomiĆ,,sopot,ralja,ralja,
andrije habuŠa,,sopot,rogaČa,rogaČa,
andrije habuŠa,,zemun,beograd,bg-zemun,
andrije stojkoviĆa,,Čukarica,ostruŽnica,ostruŽnica,
andrije vukoviĆa,,novi beograd,beograd,beograd,2019/066
andrije ŽivojinoviĆa,,lazarevac,lazarevac,lazarevac,
andrije Žugaja,,surČin,surČin,surČin,
andrijeviČka,,rakovica,beograd,beograd,
androvaČka,,palilula,borČa,borČa,
androvaČka,beogradska 4 deo 15 prilaz,Čukarica,sremČica,sremČica,2005/008
ane ahmatove,,Čukarica,beograd,bg-Žarkovo,
ane beŠliĆ,,novi beograd,beograd,beograd,2019/066
ane dobeŠ,,voŽdovac,beograd,bg-jajinci,
ane frank,,palilula,beograd,beograd,
ane glinskaje jakŠiĆ,,voŽdovac,beograd,bg-jajinci,2018/119
ane karenjine,,surČin,surČin,surČin,
ane krasojeviĆ,,Čukarica,ostruŽnica,ostruŽnica,
anete andrejeviĆ,,zemun,beograd,bg-zemun,
angela Šureva,,palilula,borČa,borČa,2019/013
angeline brankoviĆ,,barajevo,guncati,guncati,2019/067
angorska,slatina nova 1008,palilula,borČa,borČa,2006/024
anice saviĆ rebac,,surČin,surČin,surČin,
anice saviĆ-rebac,,palilula,beograd,bg-viŠnjica,
anke matiĆ,,palilula,beograd,bg-krnjaČa,
anke matiĆ,,zemun,beograd,bg-zemun,
anke obrenoviĆ,,Čukarica,beograd,bg-Železnik,2019/013
anke stojiloviĆ,,palilula,beograd,bg-krnjaČa,2019/013
anokina ulica,,barajevo,guncati,guncati,2019/067
anri matisa,,novi beograd,beograd,bg-n beograd,
anrija Žamea,kornatska,palilula,beograd,beograd,2021/122
ante abramoviĆa,,Čukarica,beograd,bg-Železnik,2019/013
ante bogiĆeviĆa,,zvezdara,beograd,beograd,
ante lambaŠe,vodovodska 10 deo,Čukarica,beograd,bg-Žarkovo,2012/017
ante mudrovČiĆa,,rakovica,beograd,beograd,
antifaŠisticke borbe,proleterske solidarnosti,novi beograd,beograd,bg-n beograd,2008/002
antiohijska,slatina nova 1304,palilula,borČa,borČa,2006/024
antona aŠkerca,,Čukarica,beograd,bg-Žarkovo,
antona Čehova,,rakovica,beograd,beograd,
antona klemenČiĆa,,zemun,beograd,bg-zemun,
antonija isakoviĆa,,sopot,babe,babe,
antonija isakoviĆa,,sopot,parcani,parcani,
antonija pantoviĆa,,rakovica,beograd,beograd,
antonije javornik,,zvezdara,beograd,bg-v m lug,2018/119
antonijeviĆa put,nova 101,mladenovac,kovaČevac,kovaČevac,2005/027
apatinska,,lazarevac,rudovci,rudovci,
apatinska,splitska,zemun,beograd,bg-zemun,2008/002
apisova,igmanska 1 prilaz,zvezdara,beograd,beograd,2004/005
aradska,,zvezdara,beograd,beograd,
aranĐela aleksiĆa,,voŽdovac,beli potok,beli potok,2018/119
aranÐela iliĆa,,sopot,babe,babe,
aranÐela iliĆa,nova 45,mladenovac,kovaČevac,kovaČevac,2005/027
aranÐelovaČka,,voŽdovac,beograd,beograd,
aranĐelovaČki put,,lazarevac,kruŠevica,kruŠevica,
aranÐelovaČki put,,lazarevac,medoŠevac,medoŠevac,
aranÐelovaČki put,,lazarevac,rudovci,rudovci,
arapovac,,lazarevac,arapovac,arapovac,
arapovaČka,,lazarevac,lazarevac,lazarevac,
arapovaČki drum,,lazarevac,arapovac,arapovac,
arapovaČki drum,,lazarevac,mirosaljci,mirosaljci,
arČibalda rajsa,,barajevo,vraniĆ,vraniĆ,2019/067
arČibalda rajsa,,Čukarica,beograd,bg-Žarkovo,
arČibalda rajsa,,grocka,leŠtane,leŠtane,2018/119
arČibalda rajsa,,surČin,dobanovci,dobanovci,2019/067
arČibalda rajsa,nova 154,mladenovac,mladenovac (varoŠ),mladenovac (varoŠ),2008/001
ardelЈanova,,palilula,ovČa,ovČa,2019/013
arhiepiskopa danila,,palilula,beograd,beograd,
arhimandrita gerasima zeliĆa,,Čukarica,beograd,bg-Žarkovo,
arhimandrita stevana,,mladenovac,koraĆica,koraĆica,
arhimedova,ŽelezniČka,surČin,dobanovci,dobanovci,2011/040
arhitekte ilkiĆa,,obrenovac,draŽevac,draŽevac,
arhitekte ilkiĆa,,rakovica,beograd,beograd,
ariljaČka,,zvezdara,beograd,beograd,
ariljaČka,beogradska 4 deo 14 prilaz,Čukarica,sremČica,sremČica,2005/008
ariljska,,grocka,vrČin,vrČin,
ariljska,,lazarevac,burovo,burovo,
ariljska,,surČin,surČin,surČin,2019/067
ariljska,,zvezdara,beograd,beograd,
aristotelova,,palilula,borČa,borČa,2019/013
armijska,,surČin,jakovo,jakovo,
arsena dediĆa,,zvezdara,beograd,bg-mirijevo,2018/119
arsena dikliĆa,,lazarevac,mirosaljci,mirosaljci,
